"sku","age","gender","size","dimension"
"LXDBLGBL-LTGF","新生","男,女","新生","40 x 40 cm公分"
"LXDBLGPK -LTGF","新生","男,女","新生","40 x 40 cm公分"
"LXDRLGBL-LTGF","3個月以上","男,女","3個月以上","18 x 15 x 7公分"
"LXDRLGPK-LTGF","3個月以上","男,女","3個月以上","18 x 15 x 7公分"
"CHCFBLYSV-LTGF","新生","男,女","新生","約35.5cm x35.5公分"
"CHTWPK-LTGF","新生","男,女","新生","連帽浴巾約104x61公分、毛巾約23x23公分"
"CHTWBL-LTGF","新生","男,女","新生","連帽浴巾約104x61公分、毛巾約23x23公分"
"MSCBKTPK-LTGF","新生","男,女","新生","約117 x112cm"
"MSCBKTBL-LTGF","新生","男,女","新生","約117 x112cm"
"MSCBKTSV-LTGF","新生","男,女","新生","約117 x112cm"
"LXDPLGBL-LTGF","新生","男,女","新生","30 x 23公分"
"LXDPLGCE-LTGF","新生","男,女","新生","30 x 23公分"
"1001-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1002-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1005-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1006-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1007-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1012-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"1200-LILACOSM","1歲以上","女",,"液體2oz"
"1305-LILACOSM","1歲以上","女",,"14ml/液態0.5oz."
"MMYellow-MM","10個月以上","男,女",,"約13.5x10x10公分、96公克"
"MMPink-MM","10個月以上","男,女",,"約13.5x10x10公分、96公克"
"MMBlue-MM","10個月以上","男,女",,"約13.5x10x10公分、96公克"
"SSSensor-CLOUDB","新生","男,女",,"約18x20x28公分"
"TTBlue-CLOUDB","２歲以上","男,女",,"約36cm L x 10cm H"
"TTPurple-CLOUDB","２歲以上","男,女",,"約36cm L x 10cm H"
"TLBPink-CLOUDB","3歲以上","男,女",,"30cm x 18cm x 9cm"
"TRTAqua-CLOUDB","3歲以上","男,女",,"30長x19寬x10高cm"
"R2C-FU-1-PLUIE","1-3歲","女","1-3歲","肩寬約28cm,總長約43cm,袖長約24cm"
"R2B-FU-6-PLUIE",,"女","Size 6","雨鞋內墊約14.5cm"
"R2U-FU-PLUIE","1-6歲","女","1-6歲","One-size (傘架長度約48cm)"
"R2C-FU-2-PLUIE","2-4歲 ","女","2-4歲 ","肩寬約30cm,總長約48.5cm,袖長約28cm"
"R2C-FU-4-PLUIE","4-6歲","女","4-6歲","肩寬約32cm,總長約58cm,袖長約36cm"
