"store","sku","qty","is_in_stock"
"admin","2PCPOPLINWHT-24M-UN",4.0000,"1 "
"admin","3066-MELDOUG",1.0000,"1 "
"admin","3294-LEARN",10.0000,"1 "
"admin","35NFE01S-EDGEPUB",21.0000,"1 "
"admin","36TFE01S-EDGEPUB",21.0000,"1 "
"admin","36WFC01S-EDGEPUB",22.0000,"1 "
"admin","4013547-KSTYL",3.0000,"1 "
"admin","4043617-KSTYL",4.0000,"1 "
"admin","4056012-KSTYL",7.0000,"1 "
"admin","47AFW01S-EDGEPUB",22.0000,"1 "
"admin","5005-LILACOSM",5.0000,"1 "
"admin","5008-LILACOSM",3.0000,"1 "
"admin","5017-LILACOSM",5.0000,"1 "
"admin","5023-LILACOSM",3.0000,"1 "
"admin","5025-LILACOSM",1.0000,"1 "
"admin","5026-LILACOSM",4.0000,"1 "
"admin","5027-LILACOSM",5.0000,"1 "
"admin","5028-LILACOSM",2.0000,"1 "
"admin","5033-LILACOSM",4.0000,"1 "
"admin","6906-LEARN",3.0000,"1 "
"admin","6973-LEARN",10.0000,"1 "
"admin","7000.3-PRNCLH",6.0000,"1 "
"admin","7001.3-PRNCLH",3.0000,"1 "
"admin","7018.2-PRNCLH",4.0000,"1 "
"admin","7020.2-PRNCLH",3.0000,"1 "
"admin","7140.2-PRNCLH",6.0000,"1 "
"admin","7152.2-PRNCLH",3.0000,"1 "
"admin","7153.2-PRNCLH",4.0000,"1 "
"admin","7201-LEARN",10.0000,"1 "
"admin","7203-LEARN",12.0000,"1 "
"admin","7207-LEARN",11.0000,"1 "
"admin","7287-LEARN",10.0000,"1 "
"admin","7323-ZZ-CLOUDB",19.0000,"1 "
"admin","7401.2-PRNCLH",4.0000,"1 "
"admin","7403.2-PRNCLH",3.0000,"1 "
"admin","7406.2-PRNCLH",5.0000,"1 "
"admin","8002-2T-TOMAT",5.0000,"1 "
"admin","85001-SHRUNKS",3.0000,"1 "
"admin","88046-SHRUNKS",11.0000,"1 "
"admin","88051-SHRUNKS",5.0000,"1 "
"admin","8933100-KSTYL",11.0000,"1 "
"admin","8947000-KSTYL",9.0000,"1 "
"admin","9011-12M-TOMAT",4.0000,"1 "
"admin","9011-2T-TOMAT",4.0000,"1 "
"admin","9048-LEARN",17.0000,"1 "
"admin","9077-LEARN",5.0000,"1 "
