"sku","amazon_avg_rating","amazon_review_count"
"14953ToyBoxNat-KK",4.3,16
"14221SBSHELF_NAT-KK",4.4,226
"18-LILACOSM",,
"13-LILACOSM",,
"116-LILACOSM",,
"115-LILACOSM",4,2
"113-LILACOSM",,
"114-LILACOSM",,
"19-LILACOSM",,
"11-LILACOSM",3,1
"111-LILACOSM",,
"14-LILACOSM",,
"E5251-EDUSHP",2,1
"E54723-EDUSHP",4.5,45
"E54724-EDUSHP",4.5,45
"E5475-EDUSHP",,
"E91519-EDUSHP",3.5,2
"E52623-EDUSHP",4.3,6
"E996-EDUSHP",2.9,8
"E76132-EDUSHP",4.4,79
"E7615-EDUSHP",3.4,28
"E75175-EDUSHP",4.5,129
"E8513-EDUSHP",4.1,1
"E97554-EDUSHP",,
"E716167-EDUSHP",4,3
"E75191-EDUSHP",4.1,2
"6973-LEARN",,
"1455-LEARN",4.3,6
"696-LEARN",,
"2781-LEARN",5,1
"2421-LEARN",3.3,3
"9162-LEARN",4.3,11
"9153-LEARN",4.2,1
"269-LEARN",4.2,16
"2665-LEARN",3.6,22
"851-Shrunks",4.5,269
"8828-Shrunks",4.2,5
"8846-Shrunks",4,69
"8851-SHRUNKS",,
"58-LILACOSM",3.3,3
"526-LILACOSM",4.7,3
"525-LILACOSM",3,5
"517-LILACOSM",2.5,2
"528-LILACOSM",2,2
"523-LILACOSM",5,1
"55-LILACOSM",5,1
"533-LILACOSM",3,5
"529-LILACOSM",3,5
"527-LILACOSM",3,5
"235-LEARN",3,24
"2349-LEARN",3.6,11
"2351-LEARN",4.3,1
"2353-LEARN",4.6,7
"2355-LEARN",4.4,5
"2354-LEARN",4,4
"2384-LEARN",,
"HDJr4Pack+Ace-LEARN",,
"HDJr4Pack+KatPen-LEARN",,
"SDCBK12-FOD-RB",,
"SDSRD6-RUO-RB",,
"SDSRD12-RUO-RB",,
"SDSRD18-RUO-RB",,
"SDSRD2T-RUO-RB",,
"SDWPI6-RU-RB",,
"SDWPI12-RU-RB",,
"SDWPI18-RU-RB",,
"SDWPI2T-RU-RB",,
"SKSWH3-WS22-RB",,
"SKSWH6-WS22-RB",,
"SKSWH12-WS22-RB",,
"SKSWH18-WS22-RB",,
"SKSWH2T-WS22-RB",,
"SKSWH3T-WS22-RB",,
"SKSPI18-PM22-RB",,
"SKSPI2T-PM22-RB",,
"SKSPI3T-PM22-RB",,
"RLKWH--RB",,
"RLKWH6--RB",,
"RLKWH12--RB",,
"RLKWH2T--RB",,
"HOKPI18-PS-RB",,
"SSKFU6-PRC-RB",,
"SSKFU12-PRC-RB",,
"SSKFU18-PRC-RB",,
"SSKFU2T-PRC-RB",,
"SSKFU3T-PRC-RB",,
"PGKPL2T-PLO-RB",,
"PGKPL3T-PLO-RB",,
"PGKNV2T-NAO-RB",,
"PGKNV3T-NAO-RB",,
"MBN1-MIXIE",5,1
"MBN2-MIXIE",5,1
"R2C-FU-1-PLUIE",,
